;user_id_str;POS tagged;Subjectivity;Polarity;TextBlob
12;8,18706E+17;[('terdapat', 'n'), ('sebuah', 'n'), ('pengumuman', 'n'), ('ya', 'n'), ('gaess', 'n'), ('selama', 'n'), ('pelayanan', 'n'), ('libur', 'n'), ('pembayaran', 'n'), ('pajak', 'n'), ('kendaraan', 'n'), ('bermotor', 'n'), ('tahunan', 'n'), ('dpt', 'n'), ('dilakukan', 'n'), ('melalui', 'n'), ('layanan', 'n'), ('e', 'n'), ('channel', 'n'), ('samsat', None), ('jatim', 'n'), ('indomaret', 'a'), ('alfamart', 'r'), ('bank', 'n'), ('jatim', 'n'), ('griya', 'n'), ('bayar', 'n'), ('kb', 'n'), ('bukopin', 'n'), ('pos', 'n'), ('indonesia', 'a'), ('tokopedia', 'n'), ('link', 'n'), ('aja', 'n'), ('gopay', 'n'), ('amp', 'n'), ('aplikasi', None), ('signal', 'n')];0.0;0.0;Neutral
13;406715980;[('info', 'n'), ('layanan', 'n'), ('persiomay', None), ('siomay', 'a'), ('alfamart', 'n'), ('gergunung', 'n'), ('enak', None), ('bapak', 'n'), ('e', 'n'), ('naik', 'a'), ('motor', 'n'), ('pake', 'n'), ('panci', 'n'), ('blirik', 'n'), ('perbiji', 'n'), ('k', 'n')];0.0;0.0;Neutral
14;108774611;[('peringati', 'n'), ('hari', 'n'), ('gizi', None), ('nasional', 'a'), ('gebyar', 'n'), ('posyandu', 'a'), ('alfamart', 'n'), ('berikan', 'n'), ('layanan', 'n'), ('kesehatan', 'n'), ('gratis', 'n')];0.0;0.0;Neutral
15;293290619;[('sedekah', 'n'), ('awal', 'n'), ('tahun', 'n'), ('raih', 'n'), ('keberkahan', 'n'), ('di', 'n'), ('awal', 'n'), ('tahun', 'n'), ('ini', 'n'), ('dengan', 'n'), ('bersedekah', 'n'), ('mengiringi', 'n'), ('terbukanya', 'n'), ('pintu', 'n'), ('pintu', 'n'), ('kemudahan', 'n'), ('di', 'n'), ('sepanjang', 'n'), ('tahun', 'n'), ('mari', 'n'), ('bersedekah', 'n'), ('di', 'n'), ('baznas', 'n'), ('melalui', 'n'), ('kasir', None), ('alfamart', 'n'), ('di', 'n'), ('seluruh', 'n'), ('indonesia', 'n'), ('layanan', 'n'), ('baznas', 'n'), ('baznas', None), ('alfamart', 'r'), ('sedekah', 'n')];0.0;0.0;Neutral
16;99499844;[('halo', 'n'), ('layanan', 'n'), ('keluhan', 'n'), ('pelanggan', 'a'), ('dimana', 'a'), ('yah', 'n'), ('saya', 'n'), ('mendapat', 'n'), ('pelayanan', 'n'), ('yang', 'n'), ('tidak', 'n'), ('menyenangkan', 'n'), ('bahkan', 'n'), ('nge', 'n'), ('gas', 'n'), ('dan', 'n'), ('gak', 'n'), ('ada', 'n'), ('permisi', 'n'), ('maaf', 'n'), ('terima', 'n'), ('kasih', 'n'), ('mohon', 'n'), ('dibalas', 'n'), ('yah', None), ('terima', 'a'), ('kasih', 'n')];0.0;0.0;Neutral
17;2483586312;[('dear', 'a'), ('mohon', 'n'), ('diperbaiki', 'n'), ('unt', 'n'), ('layanan', 'n'), ('nya', 'a'), ('krn', 'n'), ('sdh', 'n'), ('beberapa', 'n'), ('kali', 'n'), ('pesanan', 'n'), ('yg', 'n'), ('saya', 'n'), ('terima', 'n'), ('tdk', 'n'), ('sesuai', 'n'), ('dan', 'n'), ('barusan', 'a'), ('saya', 'n'), ('jg', 'n'), ('terima', 'n'), ('skm', 'n'), ('yg', 'n'), ('kalengnya', 'n'), ('peyot', 'n'), ('terima', 'n'), ('kasih', 'n'), ('alfagift', 'n')];0.0;0.0;Neutral
18;9,69218E+17;[('patroli', 'n'), ('kewilayahan', None), ('personil', 'a'), ('polsek', 'n'), ('cikarang', 'n'), ('selatan', None), ('aiptu', 'a'), ('winarno', 'n'), ('melaksanakan', 'n'), ('sosialisasi', 'n'), ('layanan', 'n'), ('polri', 'n'), ('di', 'a'), ('alfamart', 'a'), ('desa', 'n'), ('sukaresmi', 'n'), ('untuk', 'a'), ('menyampaikan', 'a'), ('himbauan', 'n'), ('kamtibmas', 'n')];0.0;0.0;Neutral
19;1,57428E+18;[('kecewa', 'n'), ('banget', 'n'), ('sama', 'a'), ('pake', 'n'), ('layanan', 'n'), ('alfagift', 'n'), ('tapi', 'n'), ('pesenan', 'n'), ('gk', 'n'), ('pernah', 'n'), ('nyampe', None), ('kerumah', None), ('gk', None), ('ada', None), ('kabar', None), ('nomor', None), ('gk', None), ('bisa', None), ('di', None), ('hubungi', None), ('niat', None), ('gk', None), ('sih', None), ('pelayananburuk', None), ('pelanggankecewe', 'n'), ('badservice', 'n'), ('alfamart', 'n'), ('alfamidi', 'n')];0.0;0.0;Neutral
20;786998773;[('infor', 'a'), ('layanan', 'n'), ('masyarakat', 'n'), ('kopsu', 'n'), ('mr', 'n'), ('beam', 'n'), ('alfamart', 'n'), ('lagi', 'n'), ('promo', 'n'), ('k', None), ('paynent', 'a'), ('gopay', 'n'), ('mayan', 'n'), ('buat', 'n'), ('pondasi', 'n'), ('menjalani', 'n'), ('hari', 'n')];0.0;0.0;Neutral
21;1,37976E+18;[('bsi', 'n'), ('hadirkan', 'n'), ('layanan', 'n'), ('tarik', 'n'), ('tunai', 'n'), ('tanpa', 'n'), ('kartu', 'n'), ('di', 'a'), ('alfamart', 'n'), ('bandarlampung', 'n'), ('sumatra', 'n')];0.0;0.0;Neutral
